Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
567,31-10-2017,MSE,Finance,Equity Stock Exchange,Mumbai,IL&FS Trust Capital Rosy Blue Securities Radhakrishan Damani and Rakesh Jhunjhunwala,Private Equity,32000000.0
568,01-09-2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,1000000.0
569,01-09-2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,Stellaris Venture Partners Mayur Abhaya Rohit MA,Private Equity,1500000.0
570,01-09-2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,1300000.0
571,04-09-2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,Accel Partners Exfinity Ventures Partech Ventures,Private Equity,5600000.0
572,05-09-2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,SRI Capital BeeNext Pravega Ventures,Private Equity,1500000.0
573,05-09-2017,Nest Education,Technology,EduTech Platform,Gurgaon,Michael and Susan Dell Foundation Anand Mahindra,Seed Funding,600000.0
574,06-09-2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,Bertelsmann India Mayfield Capital Saama Capital Darrin Capital,Private Equity,10750000.0
575,06-09-2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,HIS Co. Ltd MakeMyTrip,Private Equity,10000000.0
576,06-09-2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,Sequoia Capital India Artiman Ventures,Private Equity,6000000.0
577,06-09-2017,Power2SME,E-commerce,Buying Club for Small Businesses,Gurgaon,International Finance Corporation (IFC) Inventus Capital Partners Accel Partners Kalaari Capital and Nandan Nilekani,Private Equity,26000000.0
578,07-09-2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,5000000.0
580,07-09-2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,SoftBank Group Sequoia Capital India Lightspeed Venture Partners Greenoaks Capital Hero Enterprise,Private Equity,250000000.0
581,07-09-2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,780000.0
583,07-09-2017,Seniority,E-commerce,E-commerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,1000000.0
584,08-09-2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,Triodos Investment Management,Debt Funding,6900000.0
586,11-09-2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,30000000.0
587,11-09-2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,Sachin Tendulkar P.V SIndhu Pullela Gopichand,Private Equity,6200000.0
589,12-09-2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,100000.0
590,12-09-2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,WRV Capital Qualcomm Ventures Edelweiss Private Equity Artiman Ventures,Private Equity,17000000.0
591,12-09-2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,IAN Fund Beenext Indian Angel Network,Private Equity,3000000.0
593,13-09-2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,Accel Partners,Private Equity,2000000.0
594,13-09-2017,OYO Rooms,Consumer Internet,budget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,10000000.0
595,13-09-2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,Sequoia Capital India SAIF Partners Nexus Venture Partners and Blume Ventures,Private Equity,11500000.0
596,13-09-2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,Chennai Angels Keiretsu Forum & Others,Seed Funding,780000.0
598,14-09-2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,44000000.0
599,14-09-2017,WheelStreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding,120000.0
601,18-09-2017,The Moms Co,E-commerce,Pregnancy & Baby Care product etailer,Gurgaon,DSG Consumer Partners Saama Capital,Private Equity,1000000.0
603,19-09-2017,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000.0
605,21-09-2017,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,6000000.0
608,21-09-2017,Homergize,E-commerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,1000000.0
609,22-09-2017,Yatra.com,E-commerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,15400000.0
612,25-09-2017,Synup,Technology,SME Marketing Management Solution,Bangalore,Vertex Ventures Prime Venture Partners.,Private Equity,6000000.0
615,25-09-2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,422000.0
616,25-09-2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,150000.0
620,27-09-2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,IL&FS Investment Managers Omidyar Network.,Private Equity,1600000.0
622,27-09-2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,Blume Ventures Goldbell Group Anurag Srivastava Shailesh Rao Amiya Pathak Rajesh Yohanan and Rahul Garg,Private Equity,1000000.0
624,27-09-2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,300000.0
625,28-09-2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,1000000.0
626,01-08-2017,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,1300000.0
629,02-08-2017,Zepo,Consumer Internet,DIY E-commerce platform,Mumbai,Kunal Shah LetsVenture Anupam Mittal Hetal Sonpal,Seed Funding,500000.0
630,02-08-2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,Narottam Thudi Shireesh Palle,Seed Funding,850000.0
631,03-08-2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.0
639,08-08-2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,243000.0
640,08-08-2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,Rahul Dev Kumar Rajesh Mahajan Ankit Sharma and others,Seed Funding,220000.0
641,09-08-2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,Venugopal Dhoot Ajay Bhatia Tarun Khandelwal Ganpat Singhvi Mandhian family & Others,Seed Funding,3100000.0
642,09-08-2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,783000.0
645,11-08-2017,Flipkart,E-commerce,Online Marketplace,Bangalore,Softbank,Private Equity,2500000000.0
647,11-08-2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,36000000.0
649,14-08-2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,InCred Finance Fullerton India Credit Company Ltd,Seed Funding,312000.0
650,15-08-2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,InCred Krishnakumar Natarajan Ravi Bhardwaj,Seed Funding,385000.0
652,20-08-2017,Rootefy,E-commerce,Building material online store,New Delhi,Abhinav Gupta,Seed Funding,187000.0
653,21-08-2017,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,6800000.0
654,21-08-2017,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNIs,Seed Funding,734000.0
658,23-08-2017,Dhruva,Technology,Cloud data protection and management solutions,Pune,Riverwood Capital Sequoia Capital India Nexus Venture Partners Tenaya Capital,Private Equity,80000000.0
659,23-08-2017,Bombay Shaving Company,E-commerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,2300000.0
661,23-08-2017,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,500000.0
662,24-08-2017,Ezetap,Technology,mPOS solutions provider,Bangalore,JS Capital Management Social Capital Horizons Ventures,Private Equity,16000000.0
663,25-08-2017,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,VAMM Ventures Raksul Dena,Seed Funding,750000.0
664,25-08-2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,PBS Srinivas Vinod Martin,Seed Funding,125000.0
665,28-08-2017,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,Sistema Asia Fund C31 Ventures Qualgro.,Private Equity,7000000.0
666,29-08-2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,Accel Partners IDG Ventures Kalaari Capital UC-RNT fund,Private Equity,25000000.0
667,29-08-2017,Doxper,Technology,Healthtech IoT platform,Mumbai,idal Health growx ventures Capier Investments Globevestor & others,Seed Funding,750000.0
669,30-08-2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,Ward Ferry Management and Karst Peak Capital,Private Equity,34000000.0
670,30-08-2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Sequoia India Sofina s.a. Zodius Capital Kris Gopalakrishnan Lakshmi Narayanan,Private Equity,30000000.0
671,01-07-2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.0
672,03-07-2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,Infuse Ventures JLL,Private Equity,2600000.0
673,04-07-2017,Droom,E-commerce,Online marketplace for automobiles,Gurgaon,Asset Management (Asia) Ltd Digital Garage Inc,Private Equity,20000000.0
674,05-07-2017,Jumbotail,E-commerce,online marketplace for food and grocery,Bangalore,Kalaari Capital Nexus India Capital Advisors,Private Equity,8500000.0
675,05-07-2017,Moglix,E-commerce,B2B marketplace for Industrial products,Noida,International Finance Corporation Rocketship Accel Partners Jungle Ventures Shailesh Rao Venture Highway,Private Equity,12000000.0
676,05-07-2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1000000.0
679,07-07-2017,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,India Quotient Shunwei Capital,Seed Funding,1000000.0
681,10-07-2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000.0
682,11-07-2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0
683,11-07-2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Venture Catalysts Sourav Ganguly Ankit Aditya Moksh Sports Ventures,Seed Funding,464000.0
685,12-07-2017,Innoviti,Technology,Digital payments solutions,Bangalore,SBI-FMO Fund Bessemer Venture Partners Catamaran Ventures,Private Equity,18500000.0
689,14-07-2017,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Brigade Innovations LLP TV Mohandas Pai Suhail Rahman Bobby Reddy M George Oommen,Seed Funding,540000.0
690,14-07-2017,Chumbak,E-commerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000.0
691,17-07-2017,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Sequoia Capital Grey Orange Rajesh Ramaiah Anshuman Das Rishi Das,Seed Funding,2000000.0
692,17-07-2017,Vayana,Technology,Enterprise Banking Solutions,Pune,IDG Ventures India Advisors Jungle Ventures,Private Equity,4000000.0
697,19-07-2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,ain Capital Ventures Renaud Laplanche,Private Equity,10000000.0
699,19-07-2017,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,600000.0
700,20-07-2017,Trupay,Technology,Online payments platform,Gurgaon,Kae Capital M&S Partners,Seed Funding,700000.0
701,21-07-2017,Brick2Wall,E-commerce,Online Marketplace for Construction Material,Gurgaon,Subramani Somasundaram Sundeep Sahni Mayank Mittal & Others,Seed Funding,200000.0
705,25-07-2017,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,Stellaris Venture Partners,Private Equity,1200000.0
706,25-07-2017,byju's,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,35000000.0
708,26-07-2017,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25000000.0
709,26-07-2017,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,Indian Angel Network Anand Mahindra,Seed Funding,200000.0
710,27-07-2017,1mg,E-commerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments Maverick Capital Ventures Sequoia India Omidyar Network and Kae Capital,Private Equity,15000000.0
712,28-07-2017,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,1250000.0
715,02-06-2017,RentOnGo,E-commerce,Online Marketplace for Renting Bikes Electronics & Appliances,Bangalore,TVS Motor Company,Seed Funding,234000.0
716,05-06-2017,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50000000.0
718,06-06-2017,Spinny,E-commerce,Online Used Car marketplace,Gurgaon,Blume Ventures Indian Angel Network Kunal Shah Sandeep Tandon,Private Equity,1000000.0
721,06-06-2017,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,1200000.0
722,06-06-2017,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,Harsh Mahajan Farhan Naqvi Sreepathy Viswanathan,Seed Funding,1000000.0
725,07-06-2017,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,650000.0
726,07-06-2017,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,600000.0
727,08-06-2017,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.0
728,08-06-2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1500000.0
729,08-06-2017,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,1500000.0
730,08-06-2017,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,Mohan Alexander R. Natarajan Vikrant Varshney Amit Sinha,Seed Funding,350000.0
731,09-06-2017,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Pawan Borle Nirmal Singh Manish Prasad Vineet Varma Nick Haulkoury Abhai S. Rao,Seed Funding,300000.0
732,09-06-2017,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,Dr Ramesh Ayyala Satya Muthyala,Seed Funding,250000.0
734,12-06-2017,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7800000.0
735,12-06-2017,Boxx.ai,Technology,Artificial Intelligence,Bangalore,Unicorn India Ventures Venky Krishnakumar Suresh Shankar Vivek Bhargava,Private Equity,500000.0
736,12-06-2017,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,Venture Catalysts Alfa Capital Green Shots Capital Real Time Ventures,Private Equity,1000000.0
737,12-06-2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Artha India Ventures Singularity Holdings Rajan Anandan Girish Mathrubootham,Seed Funding,776000.0
738,12-06-2017,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000.0
740,13-06-2017,Goodera,Technology,CSR and sustainability management platform,Bangalore,Nexus Venture Partners Omidyar Network,Private Equity,5500000.0
742,14-06-2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,50000000.0
744,14-06-2017,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,500000.0
745,15-06-2017,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,Sequoia India NEA Prime Venture Partners,Private Equity,12300000.0
746,16-06-2017,Goodbox,E-commerce,Mobile SAAS E-commerce platform for SMEs,Bangalore,Nexus Venture Partners Mekin Maheshwari,Private Equity,1000000.0
747,16-06-2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,Mohammed Khan Sameer Narayan & Others,Seed Funding,100000.0
748,16-06-2017,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000.0
752,19-06-2017,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,12500000.0
753,19-06-2017,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,Lightspeed India Partners Endiya Partners 3one4 Capital Advisors LLP Startupxseed Ventures LLP,Private Equity,4000000.0
754,20-06-2017,ForeverShop,Consumer Internet,Mobile based E-commerce platform,Bangalore,91maker.com,Seed Funding,300000.0
755,20-06-2017,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000.0
756,21-06-2017,Fynd,E-commerce,Fashion etailer,Mumbai,IIFL Seed Ventures Kae Capital FJ Labs Singularity Ventures GrowX Tracxn Labs Axis Capital,Private Equity,2400000.0
757,21-06-2017,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,Manipal Education and Medical Group (MEMG) SAR Group The Grover Trust,Private Equity,4500000.0
758,21-06-2017,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215000.0
759,21-06-2017,mSwipe,Technology,Point-of-Sale services,Mumbai,UC-RNT Fund Matrix Partners alcon Edge Capital DSG Consumer Partners,Private Equity,31000000.0
761,22-06-2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,General Catalyst Founder Collective,Private Equity,4600000.0
762,22-06-2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,Endiya Partners Ventureast,Private Equity,2000000.0
763,22-06-2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,Mekin Maheshwari Bharat Vijay Krish Seshadri Amar Arsikere,Seed Funding,500000.0
764,23-06-2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,Kae Capital India Quotient IFMR and MAS Financial Services Ltd,Private Equity,4000000.0
765,23-06-2017,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0
766,26-06-2017,HUG Innovations,Technology,Gesture based Smartwatch manufacturer,Hyderabad,Mohit Srivastav Kishore Ganji Venkat Vallabhaneni Rajeev Menon,Private Equity,5000000.0
767,26-06-2017,Flipkart,E-commerce,Online marketplace,Bangalore,Naspers,Private Equity,71000000.0
768,26-06-2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,Seedfund RB International,Private Equity,4000000.0
769,27-06-2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,Snow Leopard Ventures Alto Partners,Private Equity,5000000.0
771,27-06-2017,Spares Hub,E-commerce,Automobile parts marketplace,Pune,The Chennai Angels Anthill Scale Ventures Esvee Technologies Inc Inc95 Consulting,Seed Funding,311000.0
773,28-06-2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,Kalaari Capital Udayan Goyal,Private Equity,3000000.0
774,28-06-2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,SAP.iO Unilazer Ventures,Private Equity,2000000.0
775,29-06-2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,Abhinav Bindra Gaurav Marya,Private Equity,1000000.0
777,30-06-2017,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,5000000.0
778,30-06-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Vy Capital SAIF Partners Accel Partner Bessemer Venture Partners,Private Equity,21000000.0
779,01-05-2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700000.0
780,01-05-2017,Power2SME,E-commerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,10000000.0
781,02-05-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,1500000.0
782,02-05-2017,4tigo,Logistics,Truck Network company,Bangalore,Accel Partners Nandan Nilekani,Private Equity,10000000.0
784,02-05-2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,390000.0
785,03-05-2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Falcon Edge Capital Capital Advisers,Private Equity,104500000.0
786,03-05-2017,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,1000000.0
792,05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,233000.0
793,08-05-2017,YepMe,E-commerce,Private Label Fashion etailer,Gurgaon,Rainbow Digital Services Pvt. Ltd ILearnFinance Academy Pvt. Ltd.,Private Equity,700000.0
796,08-05-2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,Ajay Relan LetsVenture,Seed Funding,1000000.0
797,08-05-2017,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,Vertex Ventures C31 Ventures,Private Equity,5000000.0
798,08-05-2017,CureFit,Technology,Health-Tech Platform,Bangalore,Trifecta Capital Advisors LLP Prathithi Investment Trust RNT Capital Gokul Rajaram Aditya Agarwal Ruchi Sanghvi & others,Private Equity,3200000.0
799,09-05-2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50000.0
804,10-05-2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,Times Internet GVFL,Private Equity,1400000.0
805,10-05-2017,Shopclues,E-commerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000.0
806,10-05-2017,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,600000.0
808,11-05-2017,Early Salary,Consumer Internet,Online lending platform,Pune,DG Ventures India Dewan Housing Finance Corp,Private Equity,4000000.0
811,12-05-2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000.0
813,12-05-2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,Infibeam CCavenue,Private Equity,466000.0
814,12-05-2017,Aequm,E-commerce,Cloud E-commerce platform,Bangalore,undisclosed investors,Seed Funding,1000000.0
815,15-05-2017,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,500000.0
818,16-05-2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000.0
819,16-05-2017,Fynd,E-commerce,Fashion E-commerce Portal,Mumbai,Rocketship,Private Equity,500000.0
820,17-05-2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,250000.0
821,17-05-2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000.0
822,18-05-2017,The Good Life,E-commerce,Online Luxury Tea etailer,Mumbai,Ayesha Takia Azmi Abu Farhan Azmi,Seed Funding,1000000.0
824,18-05-2017,Paytm,E-commerce,Mobile Wallet & E-commerce platform,Bangalore,SoftBank Group,Private Equity,1400000000.0
825,19-05-2017,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,Dheeraj Pandey Rajesh Yohannan Akash Garg,Seed Funding,1000000.0
828,22-05-2017,Delhivery,Logistics,E-commerce Logistics provider,New Delhi,Fosun International,Private Equity,30000000.0
829,22-05-2017,ZipGrid,Consumer Internet,Cashless paperless solutions for Housing societies,Mumbai,JLL 1Crowd,Seed Funding,500000.0
831,23-05-2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,Lightspeed Venture Partners Vy Capital,Private Equity,6600000.0
833,23-05-2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000.0
834,24-05-2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000.0
835,25-05-2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000.0
840,29-05-2017,Collateral Medical,E-commerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000.0
843,30-05-2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,Soma Capital Great Oaks Ventures 122 West Ventures,Private Equity,1500000.0
844,30-05-2017,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,Nasper Accel India SAIF Partners Bessemer Venture Partners Harmony Partners Norwest Venture Partners,Private Equity,80000000.0
845,31-05-2017,SastaSundar,E-commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000.0
846,31-05-2017,Magicpin,Consumer Internet,Hyperlocal Discovery & Rewards platform,Gurgaon,Lightspeed India Partners Waterbridge Ventures,Private Equity,7000000.0
847,01-04-2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,Mathew Cyriac Florintree Advisors,Private Equity,3800000.0
848,03-04-2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,8200000.0
850,03-04-2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,40000000.0
853,04-04-2017,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,2700000.0
854,04-04-2017,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,6100000.0
855,04-04-2017,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,Stellaris Venture Partners Helion Venture Partners Powerhouse Ventures Gokul Rajaram Girish Mathrubootham Aneesh Reddy Vispi Daver,Private Equity,3690000.0
856,04-04-2017,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,Kalaari Capital Norwest Venture Partners,Private Equity,7000000.0
857,04-04-2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,Keyur Joshi Pavan Bakeri,Seed Funding,500000.0
858,04-04-2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,Koen Bouwers Lomesh Agarwal Jeroen Mensen Pablo van den Bosch & Others,Seed Funding,500000.0
860,05-04-2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,3000000.0
862,06-04-2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,Mahindra Partners Eight Roads Ventures F-Prime Capital Partners,Private Equity,21000000.0
863,06-04-2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,Accel Partners Shunwei Capital,Private Equity,5000000.0
867,07-04-2017,PharmEasy,E-commerce,Online Pharmacy,Mumbai,Bessemer Venture Partners Orios Venture Partners Trifecta Capital,Private Equity,18000000.0
869,08-04-2017,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,Lightspeed India Partners Blume Ventures CyberAgent Ventures GrowX Ventures IMJ Investment Partners,Private Equity,4600000.0
870,10-04-2017,Omnify,Technology,SaaS platform for SMEs,Bangalore,Rajan Anandan L.D Sharma Saurabh Arora,Seed Funding,150000.0
871,10-04-2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000.0
872,11-04-2017,Ninjacart,E-commerce,B2B agri-marketing platform,Bangalore,Accel Partners Nandan Nilekanis NRJN Trust Mistletoe Qualcomm Ventures M&S Partners,Private Equity,5500000.0
873,11-04-2017,MergerWare,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,100000.0
875,12-04-2017,Clovia,E-commerce,Online lingerie & Sleepwear etailer,New Delhi,Ivycap Ventures Advisors Singularity Ventures and Ravi Dhariwal,Private Equity,4000000.0
